City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,klyuchi,52.2667,79.1667,20.76,69,9,5.88,RU,2024-06-07
146,walvis bay,-22.9575,14.5053,20.53,26,6,10.8,NA,2024-06-07
147,rio grande,-32.035,-52.0986,16.08,97,75,2.67,BR,2024-06-07
148,inari,68.906,27.0288,8.87,79,100,2.59,FI,2024-06-07
149,san antonio de pale,-1.4014,5.6325,25.03,73,92,4.4,GQ,2024-06-07
150,san luis obispo,35.3666,-120.5343,19.01,70,0,2.57,US,2024-06-07
151,deqen,29.9618,90.7188,12.53,52,5,2.81,CN,2024-06-07
152,puente alto,-33.6167,-70.5833,14.5,38,100,0.95,CL,2024-06-07
153,portland,45.5234,-122.6762,29.19,36,0,5.14,US,2024-06-07
154,atafu village,-8.5421,-172.5159,29.44,71,6,3.67,TK,2024-06-07
155,pudasjarvi,65.3833,26.9167,8.25,66,5,1.27,FI,2024-06-07
156,freetown,8.484,-13.2299,26.57,87,100,3.64,SL,2024-06-07
157,lebu,-37.6167,-73.65,13.65,98,100,1.9,CL,2024-06-07
158,harlingen,26.1906,-97.6961,30.05,88,0,4.63,US,2024-06-07
159,poronaysk,49.2167,143.1167,14.82,78,100,5.31,RU,2024-06-07
160,susuman,62.7833,148.1667,7.21,53,100,6.26,RU,2024-06-07
161,hasaki,35.7333,140.8333,27.38,70,69,2.5,JP,2024-06-07
162,mao,39.8885,4.2658,23.31,73,20,7.72,ES,2024-06-07
163,iskateley,67.6803,53.1512,1.12,92,100,3.58,RU,2024-06-07
164,uturoa,-16.7333,-151.4333,26.36,79,2,2.71,PF,2024-06-07
165,och'amch'ire,42.7123,41.4686,18.11,92,71,1.88,GE,2024-06-07
166,tofol,5.3248,163.0078,30.88,70,75,3.09,FM,2024-06-07
167,manggar,-2.8833,108.2667,29.62,71,9,4.72,ID,2024-06-07
168,puerto baquerizo moreno,-0.9,-89.6,21.52,88,78,4.13,EC,2024-06-07
169,chulym,55.0997,80.9572,17.37,93,100,3.05,RU,2024-06-07
170,felipe carrillo puerto,19.5833,-88.05,27.81,79,14,2.32,MX,2024-06-07
171,kerikeri,-35.2268,173.9474,18.84,93,100,2.24,NZ,2024-06-07
172,borkum,53.5809,6.6915,13.97,70,100,8.36,DE,2024-06-07
173,lamu,-2.2717,40.902,26.21,77,98,6.71,KE,2024-06-07
174,nelson bay,-32.7167,152.15,18.89,67,79,1.34,AU,2024-06-07
175,leribe,-28.8718,28.045,3.33,78,0,1.14,LS,2024-06-07
176,kapuskasing,49.4169,-82.4331,14.05,94,100,5.14,CA,2024-06-07
177,bandarbeyla,9.4942,50.8122,27.32,71,59,10.28,SO,2024-06-07
178,tomatlan,19.9333,-105.25,24.36,78,3,1.47,MX,2024-06-07
