City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
411,morant bay,JM,17.8815,-76.4093,86,Morant Villas
414,nova sintra,CV,14.8667,-24.7167,83,Residência Ka Dencho
415,twon-brass,NG,4.3151,6.2418,85,KC Hotel
416,raja,SS,8.4596,25.678,64,No hotel found
417,kut chap,TH,17.4257,102.5669,84,No hotel found
418,harper,LR,4.375,-7.7169,81,No hotel found
420,auki,SB,-8.7676,160.7034,91,No hotel found
421,dazhou,CN,31.2159,107.5009,89,凤凰国际大酒店
422,kavieng,PG,-2.5744,150.7967,79,Kavieng Hotel
423,tazacorte,ES,28.629,-17.9293,80,App Leyma
424,puerto princesa,PH,9.7392,118.7353,89,Circon Businessman's Inn
426,daru,PG,-9.0763,143.2092,89,Kuki
431,naze,JP,28.3667,129.4833,93,ビジネス旅館畠山
434,samarinda,ID,-0.5,117.15,99,Hotel Bumi Senyiur
435,al burayqah,LY,30.4062,19.5739,74,فندق ماس ليبيا
436,menongue,AO,-14.6585,17.691,35,No hotel found
437,hays,US,30.0502,-98.0336,58,Fall Creek Inn
438,bom jesus da lapa,BR,-13.255,-43.4181,23,No hotel found
439,taitung city,TW,22.7583,121.1444,86,瑞軒民宿
444,santana,BR,-0.0583,-51.1817,66,Hotel Teodoro
445,inarajan village,GU,13.2736,144.7484,91,No hotel found
446,pattaya,TH,12.9333,100.8833,75,The BayView
448,san francisco,US,37.7749,-122.4194,84,Edwardian Hotel
451,birjand,IR,32.8663,59.2211,14,مهمانسرای جهانگردی بیرجند
453,lodja,CD,-3.4833,23.4333,44,No hotel found
455,khairpur mir's,PK,27.5295,68.7617,23,No hotel found
457,le vauclin,MQ,14.5452,-60.8388,66,Hôtel Macabou
458,shendi,SD,16.6915,33.4341,19,Hotel - unknown name
459,newman,US,37.3138,-121.0208,50,No hotel found
462,ouadda,CF,8.0777,22.4007,96,No hotel found
464,colares,PT,38.7992,-9.4469,90,Hotel Arribas
466,banda aceh,ID,5.5577,95.3222,76,Hotel 61
467,aleg,MR,17.0481,-13.9209,12,Hotel Oasis Aleg
469,vila do maio,CV,15.1333,-23.2167,84,Residencial Jardins De Maio
472,zhob,PK,31.3411,69.4481,30,No hotel found
473,dali,CN,25.7,100.1833,88,风花雪月大酒店
474,coari,BR,-4.085,-63.1414,40,Hotel Saúde
475,copala,MX,16.65,-98.9833,50,No hotel found
476,santa cruz,BO,-17.8,-63.1667,51,Aviador Hotel Boutique
477,sultanah,SA,24.4926,39.5857,9,فندق جلنار
478,crane,US,31.3974,-102.3501,29,No hotel found
479,virginia beach,US,36.8529,-75.978,38,Beach Spa Bed & Breakfast
481,bamboo flat,IN,11.7,92.7167,94,Hotel Megapode Nest
486,pingnan,CN,23.5543,110.3976,99,No hotel found
489,angaur state,PW,6.906,134.13,77,No hotel found
492,minab,IR,27.1467,57.0801,29,هتل صدف
493,makhjan,IN,17.2698,73.5003,94,Hotel Vikrant
494,timbiqui,CO,2.7717,-77.6654,82,Hotel del Río Guapi
495,siwa oasis,EG,29.2041,25.5195,18,فندق الكيلانى
496,kelibia,TN,36.8476,11.0939,73,Hôtel La Belle Étoile
500,kingston,JM,17.997,-76.7936,72,Aphrodite Hotel
503,cururupu,BR,-1.8283,-44.8683,58,No hotel found
504,bovalino,IT,38.149,16.174,62,No hotel found
508,camayenne,GN,9.535,-13.6878,70,Palm Camayenne
509,beoumi,CI,7.6736,-5.5764,62,Hotel Amani 07 87 50 76
510,caleta de carquin,PE,-11.0925,-77.6267,68,Hotel Mi Choacan
511,reggane,DZ,26.7158,0.1714,7,No hotel found
513,san andres,CO,12.5847,-81.7006,74,Hotel Decameron Isleño
514,gurun,MY,5.8172,100.4738,91,The Regency Jerai Hill Resort
517,mahajanga,MG,-15.7167,46.3167,83,Vahiny Hotel
520,magway,MM,20.15,94.9167,72,Rolex Guesthouse
521,mendi,PG,-6.1761,143.6513,99,Kiburu Lodge
523,majuro,MH,7.0897,171.3803,83,Marshall Islands Resort
525,taulaga,AS,-11.0553,-171.0883,79,No hotel found
526,san julian,MX,21.0167,-102.1667,24,No hotel found
527,illela,NG,13.7292,5.2975,31,HOTEL KADO
529,antsiranana,MG,-12.2787,49.2917,81,Central
530,dehri,IN,24.8667,84.1833,18,Hotel Sonebridge
531,lang son,VN,21.8333,106.7333,97,No hotel found
533,salinas,US,36.6777,-121.6555,75,The Traveler's Hotel
534,vila franca do campo,PT,37.7167,-25.4333,99,Vinha d'Areia Beach Hotel
536,at taj,LY,24.2049,23.2857,16,No hotel found
537,deqen,CN,29.9618,90.7188,60,No hotel found
538,sparks,US,39.5349,-119.7527,22,Nugget Casino Resort
